date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:48:40	868/868	---MC-	200	added ('OK')	text/plain	date:Mon,%2009%20Dec%202024%2017:48:40%20GMT	https://smoothwan.discourse.group/robots.txt		(from )
20:48:40	11345/11345	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Dec%202024%2017:48:40%20GMT	https://smoothwan.discourse.group/?_escaped_fragment_	C:/Users/user/Desktop/sm/smoothwan-forum/smoothwan.discourse.group/index1556.html	(from )
20:48:40	1565/1565	---M--	200	added ('OK')	image/png	etag:%22bd1f8a564ac6e29990129e169d956157%22	https://canada1.discourse-cdn.com/free1/uploads/smoothwan/optimized/1X/3613a64d67b74a57a3b28c01cd298fd2c723dd92_2_32x32.png	C:/Users/user/Desktop/sm/smoothwan-forum/canada1.discourse-cdn.com/free1/uploads/smoothwan/optimized/1X/3613a64d67b74a57a3b28c01cd298fd2c723dd92_2_32x32.png	(from https://smoothwan.discourse.group/?_escaped_fragment_)
20:48:41	6555/6555	---M--	200	added ('OK')	image/png	etag:%22eac89aac36b9947a2169689feb20fcc3%22	https://canada1.discourse-cdn.com/free1/uploads/smoothwan/optimized/1X/3613a64d67b74a57a3b28c01cd298fd2c723dd92_2_180x180.png	C:/Users/user/Desktop/sm/smoothwan-forum/canada1.discourse-cdn.com/free1/uploads/smoothwan/optimized/1X/3613a64d67b74a57a3b28c01cd298fd2c723dd92_2_180x180.png	(from https://smoothwan.discourse.group/?_escaped_fragment_)
20:48:41	708/708	---MC-	200	added ('OK')	application/xml	date:Mon,%2009%20Dec%202024%2017:48:42%20GMT	https://smoothwan.discourse.group/opensearch.xml	C:/Users/user/Desktop/sm/smoothwan-forum/smoothwan.discourse.group/opensearch.xml	(from https://smoothwan.discourse.group/?_escaped_fragment_)
20:48:42	11307/11307	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Dec%202024%2017:48:42%20GMT	https://smoothwan.discourse.group/	C:/Users/user/Desktop/sm/smoothwan-forum/smoothwan.discourse.group/index.html	(from https://smoothwan.discourse.group/?_escaped_fragment_)
20:48:42	3950/3950	---MCZ	200	added ('OK')	text/css	date:Mon,%2009%20Dec%202024%2015:34:38%20GMT	https://yyz2.discourse-cdn.com/free1/stylesheets/color_definitions_base__1_2fd08b630e2e173ecc4d9090eb26db3f182aabf9.css?__ws=smoothwan.discourse.group	C:/Users/user/Desktop/sm/smoothwan-forum/yyz2.discourse-cdn.com/free1/stylesheets/color_definitions_base__1_2fd08b630e2e173ecc4d9090eb26db3f182aabf9.css_;%20filename_=UTF-8''color_definitions_base__1_2fd08b630e2e173ecc4d9090eb26db3f182aab	(from https://smoothwan.discourse.group/?_escaped_fragment_)
20:48:42	3966/3966	---MCZ	200	added ('OK')	text/css	date:Mon,%2009%20Dec%202024%2015:34:38%20GMT	https://yyz2.discourse-cdn.com/free1/stylesheets/color_definitions_air-light-s_12_1_97cd8256f1ca62566a4a716f4c69270b98f87c48.css?__ws=smoothwan.discourse.group	C:/Users/user/Desktop/sm/smoothwan-forum/yyz2.discourse-cdn.com/free1/stylesheets/color_definitions_air-light-s_12_1_97cd8256f1ca62566a4a716f4c69270b98f87c48.css_;%20filename_=UTF-8''color_definitions_air-light-s_12_1_97cd8256f1ca62566a4a	(from https://smoothwan.discourse.group/?_escaped_fragment_)
20:48:43	737589/737589	---MCZ	200	added ('OK')	text/css	date:Mon,%2009%20Dec%202024%2003:56:56%20GMT	https://yyz2.discourse-cdn.com/free1/stylesheets/desktop_9258ead2aa7dc7a96ffe0b2089a5b7ca643a4781.css?__ws=smoothwan.discourse.group	C:/Users/user/Desktop/sm/smoothwan-forum/yyz2.discourse-cdn.com/free1/stylesheets/desktop_9258ead2aa7dc7a96ffe0b2089a5b7ca643a4781.css_;%20filename_=UTF-8''desktop_9258ead2aa7dc7a96ffe0b2089a5b7ca643a4781e41b.css	(from https://smoothwan.discourse.group/?_escaped_fragment_)
20:48:43	5209/5209	---MCZ	200	added ('OK')	text/css	date:Mon,%2009%20Dec%202024%2003:56:57%20GMT	https://yyz2.discourse-cdn.com/free1/stylesheets/checklist_9258ead2aa7dc7a96ffe0b2089a5b7ca643a4781.css?__ws=smoothwan.discourse.group	C:/Users/user/Desktop/sm/smoothwan-forum/yyz2.discourse-cdn.com/free1/stylesheets/checklist_9258ead2aa7dc7a96ffe0b2089a5b7ca643a4781.css_;%20filename_=UTF-8''checklist_9258ead2aa7dc7a96ffe0b2089a5b7ca643a4781e41b.css	(from https://smoothwan.discourse.group/?_escaped_fragment_)
